995,4,0,1,0,0,0,0,0,0
995,4,0,1,0,0,0,0,0,0
995,4,0,1,0,0,0,0,0,0
995,4,0,1,0,0,0,0,0,0
995,2,1,2,0,0,0,0,0,0
995,2,1,2,0,0,0,0,0,0
995,2,1,2,0,0,0,0,0,0
995,2,1,2,0,0,0,0,0,0
9995,4,0,1,0,0,0,0,0,0
9995,4,0,1,0,0,0,0,0,0
9995,4,0,1,0,0,0,0,0,0
9995,4,0,1,0,0,0,0,0,0
9995,4,0,1,0,0,0,0,0,0
9995,4,0,1,0,0,0,0,0,0
9995,4,0,1,0,0,0,0,0,0
9995,4,0,1,0,0,0,0,0,0
9995,4,0,1,0,0,0,0,0,0
9995,4,0,1,0,0,0,0,0,0
9995,4,0,1,0,0,0,0,0,0
9995,4,0,1,0,0,0,0,0,0
9995,3,1,0,0,1,0,0,0,0
9995,3,1,0,0,1,0,0,0,0
9995,3,1,0,0,1,0,0,0,0
9995,3,1,0,0,1,0,0,0,0
9995,1,1,1,1,1,0,0,0,0
9995,1,1,1,1,1,0,0,0,0
9995,1,1,1,1,1,0,0,0,0
9995,1,1,1,1,1,0,0,0,0
9994,1,1,0,1,2,0,0,1,0
9994,1,1,0,1,2,0,0,1,0
9994,1,1,0,1,2,0,0,1,0
9994,1,1,0,1,2,0,0,1,0
9992,3,0,0,2,2,0,0,1,0
9992,3,0,0,2,2,0,0,1,0
9992,3,0,0,2,2,0,0,1,0
9992,3,0,0,2,2,0,0,1,0
9992,1,1,1,2,1,1,0,1,0
9992,1,1,1,2,1,1,0,1,0
9992,1,1,1,2,1,1,0,1,0
9992,1,1,1,2,1,1,0,1,0
9989,4,1,1,2,0,0,1,2,0
9989,4,1,1,2,0,0,1,2,0
9989,4,1,1,2,0,0,1,2,0
9989,4,1,1,2,0,0,1,2,0
9983,10,0,0,2,1,0,1,3,0
9983,10,0,0,2,1,0,1,3,0
9983,10,0,0,2,1,0,1,3,0
9983,10,0,0,2,1,0,1,3,0
9979,12,0,2,1,1,0,1,4,0
9979,12,0,2,1,1,0,1,4,0
9979,12,0,2,1,1,0,1,4,0
9979,12,0,2,1,1,0,1,4,0
9974,14,0,5,0,1,0,1,5,0
9974,14,0,5,0,1,0,1,5,0
9974,14,0,5,0,1,0,1,5,0
9974,14,0,5,0,1,0,1,5,0
9971,13,1,5,0,4,0,1,5,0
9971,13,1,5,0,4,0,1,5,0
9971,13,1,5,0,4,0,1,5,0
9971,13,1,5,0,4,0,1,5,0
9957,23,3,4,0,7,0,1,5,0
9957,23,3,4,0,7,0,1,5,0
9957,23,3,4,0,7,0,1,5,0
9957,23,3,4,0,7,0,1,5,0
9949,21,6,9,0,8,0,0,7,0
9949,21,6,9,0,8,0,0,7,0
9949,21,6,9,0,8,0,0,7,0
9949,21,6,9,0,8,0,0,7,0
9941,21,7,8,3,9,0,0,11,0
9941,21,7,8,3,9,0,0,11,0
9941,21,7,8,3,9,0,0,11,0
9941,21,7,8,3,9,0,0,11,0
9928,27,7,9,4,11,0,0,14,0
9928,27,7,9,4,11,0,0,14,0
9928,27,7,9,4,11,0,0,14,0
9928,27,7,9,4,11,0,0,14,0
9916,31,8,9,3,13,0,0,20,0
9916,31,8,9,3,13,0,0,20,0
9916,31,8,9,3,13,0,0,20,0
9916,31,8,9,3,13,0,0,20,0
9903,38,7,9,5,13,0,0,25,0
9903,38,7,9,5,13,0,0,25,0
9903,38,7,9,5,13,0,0,25,0
9903,38,7,9,5,13,0,0,25,0
9886,43,9,14,7,10,1,0,30,0
9886,43,9,14,7,10,1,0,30,0
9886,43,9,14,7,10,1,0,30,0
9886,43,9,14,7,10,1,0,30,0
9842,71,10,18,8,14,1,1,35,0
9842,71,10,18,8,14,1,1,35,0
9842,71,10,18,8,14,1,1,35,0
9842,71,10,18,8,14,1,1,35,0
9794,95,18,21,9,19,2,2,40,0
9794,95,18,21,9,19,2,2,40,0
9794,95,18,21,9,19,2,2,40,0
9794,95,18,21,9,19,2,2,40,0
9750,109,19,36,16,21,1,4,44,0
9750,109,19,36,16,21,1,4,44,0
9750,109,19,36,16,21,1,4,44,0
9750,109,19,36,16,21,1,4,44,0
9668,158,29,37,18,32,1,5,52,0
9668,158,29,37,18,32,1,5,52,0
9668,158,29,37,18,32,1,5,52,0
9668,158,29,37,18,32,1,5,52,0
9585,194,36,45,24,41,2,6,67,0
9585,194,36,45,24,41,2,6,67,0
9585,194,36,45,24,41,2,6,67,0
